"Issue Type","Issue ID","Summary","Parent","Assignee","Story Points","Original Estimate","Sprint","Priority","Labels","Description"
"Epic","6001","[SPRINT 3] Complete specialist administration and discovery","","","","","MB Sprint 3","Highest","sprint3-specialist-admin-discovery","## Objective
Deliver the approved specialist journey from profile submission through approval, location, availability, discovery, rating, and account-state administration.

## Scope and pull policy
Pull 6101 first; then 6102-6104. Pull 6105 after approved profiles and slots exist. Pull 6106 after completed appointments and 6107 after core specialist/session flows.

All child Stories are an ordered candidate pool in MB Sprint 3; importing them does not commit the full point total. Sprint planning pulls only dependency-ready work that fits capacity.

## Explicit deferrals
Credential documents, license verification, clinical matching, rooms, video, cash-price display, and access to raw journal, assessment, or chat data remain excluded.

## Definition of Done
- [ ] Every pulled child Story reaches its stated usable actor outcome.
- [ ] Contracts, persistence, owner implementation, consumers, frontend, and evidence agree where applicable.
- [ ] Dependency-gated Stories are not started before named prerequisites pass.
- [ ] Deferred or prohibited behavior is not presented as implemented."
"Epic","6002","[SPRINT 3] Complete Journal and AI Companion","","","","","MB Sprint 3","Highest","sprint3-journal-ai-companion","## Objective
Complete Journal authoring and deliver consented exact-revision, brief-draft, and longitudinal AI capabilities through a controlled provider rollout.

## Scope and pull policy
Pull 6201 and 6202 independently; 6203 follows 6202. Pull 6204 before official controlled-demo enablement, 6205 after the manual brief contract, and 6206 before reassessment composition.

All child Stories are an ordered candidate pool in MB Sprint 3; importing them does not commit the full point total. Sprint planning pulls only dependency-ready work that fits capacity.

## Explicit deferrals
Diagnosis, PHQ/GAD scoring, autonomous Care decisions, raw provider-response or chain-of-thought storage, and silent cross-provider fallback remain prohibited.

## Definition of Done
- [ ] Every pulled child Story reaches its stated usable actor outcome.
- [ ] Contracts, persistence, owner implementation, consumers, frontend, and evidence agree where applicable.
- [ ] Dependency-gated Stories are not started before named prerequisites pass.
- [ ] Deferred or prohibited behavior is not presented as implemented."
"Epic","6003","[SPRINT 3] Complete the SupportPlan user journey","","","","","MB Sprint 3","Highest","sprint3-supportplan-complete","## Objective
Continue from the imported SupportPlan provider foundation through proposal, activation, lifecycle, replacement, and real engagement.

## Scope and pull policy
6301 is gated by imported Stories 5102, 5103, and 5104. Pull 6302-6305 in order as the preceding runtime capability becomes stable; keep one focused owner on this lane.

All child Stories are an ordered candidate pool in MB Sprint 3; importing them does not commit the full point total. Sprint planning pulls only dependency-ready work that fits capacity.

## Explicit deferrals
Client-authored proposals, mutable templates, AI-selected plans, automatic plan mutation, community, gamification, and generic scheduling remain excluded.

## Definition of Done
- [ ] Every pulled child Story reaches its stated usable actor outcome.
- [ ] Contracts, persistence, owner implementation, consumers, frontend, and evidence agree where applicable.
- [ ] Dependency-gated Stories are not started before named prerequisites pass.
- [ ] Deferred or prohibited behavior is not presented as implemented."
"Epic","6004","[SPRINT 3] Complete appointment and consultation continuity","","","","","MB Sprint 3","Highest","sprint3-appointment-consultation","## Objective
Deliver the approved appointment journey from demo credit and request through decision, change, bounded sharing, session evidence, settlement, and summary.

## Scope and pull policy
Pull 6401 early; pull 6402 after specialist slots; then 6403-6404. Pull 6405 after confirmed appointments and 6406-6409 after the required session states exist.

All child Stories are an ordered candidate pool in MB Sprint 3; importing them does not commit the full point total. Sprint planning pulls only dependency-ready work that fits capacity.

## Explicit deferrals
Video, rooms, private psychotherapy notes, specialist-only completion, continuous monitoring, real MoMo rollout, and financial administration remain excluded.

## Definition of Done
- [ ] Every pulled child Story reaches its stated usable actor outcome.
- [ ] Contracts, persistence, owner implementation, consumers, frontend, and evidence agree where applicable.
- [ ] Dependency-gated Stories are not started before named prerequisites pass.
- [ ] Deferred or prohibited behavior is not presented as implemented."
"Epic","6005","[SPRINT 3] Complete reassessment and governed plan review","","","","","MB Sprint 3","Highest","sprint3-reassessment-review","## Objective
Close the post-screening loop with four separate evidence dimensions and user-confirmed SupportPlan review.

## Scope and pull policy
6501 consumes deterministic assessment history, 6206 longitudinal context, and 6305 engagement. 6502 exposes the result; 6503 follows 6304 replacement readiness.

All child Stories are an ordered candidate pool in MB Sprint 3; importing them does not commit the full point total. Sprint planning pulls only dependency-ready work that fits capacity.

## Explicit deferrals
Combined improvement/recovery scores, AI clinical verdicts, autonomous plan changes, and predictive analytics remain excluded.

## Definition of Done
- [ ] Every pulled child Story reaches its stated usable actor outcome.
- [ ] Contracts, persistence, owner implementation, consumers, frontend, and evidence agree where applicable.
- [ ] Dependency-gated Stories are not started before named prerequisites pass.
- [ ] Deferred or prohibited behavior is not presented as implemented."
"Story","6101","Submit a specialist profile and approve it","6001","","5","","MB Sprint 3","Highest","sprint3-now-specialist-approval","## Objective
Let a specialist submit the approved public profile and let an admin move it from PENDING to APPROVED.

## Scope and dependencies
Starts immediately in consultation-service and replaces hardcoded credential-verification prototypes.

## Acceptance Criteria
- [ ] Contract and persist approved public fields, PENDING status, actor, and timestamps.
- [ ] Implement specialist create/read/update/submit and admin queue/detail/approve APIs.
- [ ] Replace specialist/admin fixtures with real BFF flows.
- [ ] Show persisted status after reload and remove verification claims.
- [ ] Exercise submit, reload, approve, repeat, wrong actor, and invalid data.

## Definition of Done
- [ ] The first confirmation subtask closes only material remaining decisions.
- [ ] The stated actor journey works with persisted owner state and real consumers.
- [ ] Contract, migration, implementation, frontend, and canonical documentation agree where applicable.
- [ ] Proportional tests cover success, authorization, validation, consistency, and dependency failure.
- [ ] Evidence is classified truthfully as fixture browser, service integration, or live cross-stack.

## Evidence
- Contract and migration diff, or an explicit no-change conclusion.
- Exact owner and consumer test commands with results.
- Screenshots, recording, or redacted payloads proving the actor outcome.
- Compatibility evidence for each cross-service boundary.

## Completion Notes
Record final endpoints, states, decisions, versions, test commands, dependencies, and intentional deferrals for Submit a specialist profile and approve it."
"Story","6102","Handle specialist rejection, suspension, resubmission, and restoration","6001","","5","","MB Sprint 3","High","sprint3-next-specialist-lifecycle","## Objective
Complete the specialist exception lifecycle with understandable stable reasons and correct downstream effects.

## Scope and dependencies
Depends on 6101; suspension must remove discovery and safely affect future appointments.

## Acceptance Criteria
- [ ] Implement reject, resubmit, suspend, and restore commands with audit facts.
- [ ] Trigger owner-safe future-appointment cancellation and exact credit release on suspension.
- [ ] Add real admin actions and specialist remediation states.
- [ ] Show reasons and downstream appointment outcomes without private content.
- [ ] Exercise all valid/invalid transitions and races.

## Definition of Done
- [ ] The first confirmation subtask closes only material remaining decisions.
- [ ] The stated actor journey works with persisted owner state and real consumers.
- [ ] Contract, migration, implementation, frontend, and canonical documentation agree where applicable.
- [ ] Proportional tests cover success, authorization, validation, consistency, and dependency failure.
- [ ] Evidence is classified truthfully as fixture browser, service integration, or live cross-stack.

## Evidence
- Contract and migration diff, or an explicit no-change conclusion.
- Exact owner and consumer test commands with results.
- Screenshots, recording, or redacted payloads proving the actor outcome.
- Compatibility evidence for each cross-service boundary.

## Completion Notes
Record final endpoints, states, decisions, versions, test commands, dependencies, and intentional deferrals for Handle specialist rejection, suspension, resubmission, and restoration."
"Story","6103","Manage specialist PracticeLocations","6001","","5","","MB Sprint 3","High","sprint3-next-practice-location","## Objective
Let an approved specialist create, edit, list, and deactivate real in-person locations.

## Scope and dependencies
Depends on 6101; V1 stores displayName, address, IANA timezone, active, and no rooms.

## Acceptance Criteria
- [ ] Add OpenAPI/Liquibase for owned locations and seed provenance.
- [ ] Implement create/list/update/deactivate with timezone and approval rules.
- [ ] Build real location list/create/edit/deactivate screens.
- [ ] Show timezone, inactive, seed, validation, and failure states.
- [ ] Exercise ownership, invalid timezone, deactivate, seed, and snapshot preservation.

## Definition of Done
- [ ] The first confirmation subtask closes only material remaining decisions.
- [ ] The stated actor journey works with persisted owner state and real consumers.
- [ ] Contract, migration, implementation, frontend, and canonical documentation agree where applicable.
- [ ] Proportional tests cover success, authorization, validation, consistency, and dependency failure.
- [ ] Evidence is classified truthfully as fixture browser, service integration, or live cross-stack.

## Evidence
- Contract and migration diff, or an explicit no-change conclusion.
- Exact owner and consumer test commands with results.
- Screenshots, recording, or redacted payloads proving the actor outcome.
- Compatibility evidence for each cross-service boundary.

## Completion Notes
Record final endpoints, states, decisions, versions, test commands, dependencies, and intentional deferrals for Manage specialist PracticeLocations."
"Story","6104","Publish 60-minute specialist availability","6001","","5","","MB Sprint 3","High","sprint3-next-specialist-availability","## Objective
Let an approved specialist publish and withdraw real IN_APP_CHAT and IN_PERSON slots.

## Scope and dependencies
Depends on 6101 and on 6103 for in-person availability.

## Acceptance Criteria
- [ ] Persist exact 60-minute slots, modality, UTC interval, timezone, location, and state.
- [ ] Implement owned create/list/withdraw with overlap and approval rules.
- [ ] Replace prototype schedules with real availability management.
- [ ] Require active location for in-person and show conflicts/holds.
- [ ] Exercise both modalities, overlap, duration, owner, location, withdrawal, and timezone.

## Definition of Done
- [ ] The first confirmation subtask closes only material remaining decisions.
- [ ] The stated actor journey works with persisted owner state and real consumers.
- [ ] Contract, migration, implementation, frontend, and canonical documentation agree where applicable.
- [ ] Proportional tests cover success, authorization, validation, consistency, and dependency failure.
- [ ] Evidence is classified truthfully as fixture browser, service integration, or live cross-stack.

## Evidence
- Contract and migration diff, or an explicit no-change conclusion.
- Exact owner and consumer test commands with results.
- Screenshots, recording, or redacted payloads proving the actor outcome.
- Compatibility evidence for each cross-service boundary.

## Completion Notes
Record final endpoints, states, decisions, versions, test commands, dependencies, and intentional deferrals for Publish 60-minute specialist availability."
"Story","6105","Discover approved specialists and selectable slots","6001","","8","","MB Sprint 3","High","sprint3-next-specialist-discovery","## Objective
Replace static specialist cards with transparent discovery, filters, profile detail, and current availability.

## Scope and dependencies
Depends on 6101, 6103, and 6104; ranking order is domain, availability, language, timezone, rating, experience.

## Acceptance Criteria
- [ ] Implement approved-only list/detail/filter APIs with ranking policy version and explanation.
- [ ] Apply deterministic ranking and stable pagination.
- [ ] Connect real list, filters, detail, explanation, and slot selection.
- [ ] Remove Video, Phone, free intro, prices, credentials, and unsupported domains.
- [ ] Exercise approval visibility, filters, rank ties, inactive locations, and stale slots.

## Definition of Done
- [ ] The first confirmation subtask closes only material remaining decisions.
- [ ] The stated actor journey works with persisted owner state and real consumers.
- [ ] Contract, migration, implementation, frontend, and canonical documentation agree where applicable.
- [ ] Proportional tests cover success, authorization, validation, consistency, and dependency failure.
- [ ] Evidence is classified truthfully as fixture browser, service integration, or live cross-stack.

## Evidence
- Contract and migration diff, or an explicit no-change conclusion.
- Exact owner and consumer test commands with results.
- Screenshots, recording, or redacted payloads proving the actor outcome.
- Compatibility evidence for each cross-service boundary.

## Completion Notes
Record final endpoints, states, decisions, versions, test commands, dependencies, and intentional deferrals for Discover approved specialists and selectable slots."
