Issue Type,Issue ID,Summary,Parent,Assignee,Story Points,Original Estimate,Sprint,Priority,Labels,Description
Epic,400,Deliver backend-authoritative PHQ-9 frontend integration,,Member 1,,,MB Sprint 2,Highest,sprint2-screening,"## Objective

Deliver an anonymous and authenticated PHQ-9 experience that uses Care as the only scoring and safety-policy authority.

## Scope

- Add frontend server-side integration with the Care API.
- Replace mock questionnaires and browser-owned scoring.
- Preserve the current frontend design system and responsive behavior.
- Cover loading, validation, expiry, authorization, and service-unavailable states.

## Definition of Done

- The integrated PHQ-9 journey works against the implemented Care contract.
- No score, band, item-9 status, or support action is calculated in browser code.
- Removed hotline behavior does not reappear.
- Automated tests, build, lint, and type checks pass.
- Evidence is attached to the child Story and pull request."
Epic,401,Complete Care profile consent and assessment history,,Member 2,,,MB Sprint 2,Highest,sprint2-care,"## Objective

Close the remaining Care profile and consent runtime gap and provide authenticated users with server-owned assessment history and reassessment entry points.

## Scope

- Complete the existing MB-89 profile and consent carry-over before new work.
- Add assessment history contracts and runtime behavior.
- Integrate profile, consent, history, and reassessment in the frontend.
- Preserve ownership, versioning, idempotency, and privacy boundaries.

## Definition of Done

- The MB-89 profile/consent carry-over is complete.
- Care contracts and runtime tests pass.
- Authenticated frontend flows use server data and current UI conventions.
- Anonymous results are not attached to accounts.
- Evidence is attached to the child Story and pull request."
Epic,402,Resolve Review 1 screening-to-support business flow,,Member 3,,,MB Sprint 2,Highest,sprint2-review1,"## Objective

Close the Review 1 business gaps with a versioned and reviewable blueprint from target-cohort eligibility through screening, support, specialist handoff, follow-up, reassessment, and descriptive progress evaluation.

## Scope

- Define the MentalBridge MVP target cohort and unsupported cases.
- Record PHQ-9 and GAD-7 provenance, locale, validation applicability, publication rights, and approval gates.
- Define screening terminology and prohibited diagnosis or treatment claims.
- Separate screening level, item-9 safety status, support tier, support actions, and entitlement.
- Define specialist handoff, scoped consent, follow-up, reassessment, and descriptive progress rules without claiming unavailable runtime.
- Produce a Review 1 closure matrix linking feedback to decisions, evidence, approvals, runtime status, and explicit deferrals.

## Definition of Done

- Every Review 1 question has a versioned decision artifact and accountable approval status.
- Unapproved clinical or localized content remains unpublished.
- The flow never converts a screening score directly into diagnosis or mandatory treatment.
- Runtime implementation and business-definition status are reported separately.
- Evidence is attached to the child Story and review package."
Epic,403,Integrate reviewed resources and Sprint 2 release evidence,,Member 5,,,MB Sprint 2,High,sprint2-quality,"## Objective

Connect reviewed support resources to the screening result experience and produce release evidence for the complete Sprint 2 vertical slice.

## Scope

- Integrate published Content/Notification health resources.
- Show explicit safe fallback text when resources are unavailable.
- Do not restore the removed hotline catalogue or imply monitoring or emergency dispatch.
- Validate anonymous and authenticated journeys end to end.

## Definition of Done

- Only reviewed and published resources are rendered.
- Failure states cannot be mistaken for clinical guidance.
- Cross-service E2E and regression evidence passes.
- Runbooks and affected documentation are current.
- Evidence is attached to the child Stories and pull requests."
Story,500,Integrate backend-authoritative PHQ-9 screening in frontend,400,Member 1,8,,MB Sprint 2,Highest,sprint2-screening,"## Objective

Replace the current mock PHQ-9 pages with Care-backed anonymous and authenticated screening flows.

## Scope

- Add a server-side Care BFF and typed frontend client.
- Retrieve the current published questionnaire from Care.
- Create and use anonymous assessment sessions without exposing stored token hashes.
- Submit authenticated and anonymous answers to Care.
- Render the server-owned score, screening level, item-9 safety status, and approved response fields.
- Remove browser scoring, mock results, and the obsolete hotline message.
- Keep the existing frontend template, theme, spacing, typography, components, and responsive conventions.

## Acceptance Criteria

- [ ] Anonymous users can retrieve, complete, submit, and reopen a PHQ-9 result within the server-owned session rules.
- [ ] Authenticated USER accounts can retrieve, complete, submit, and reopen their own PHQ-9 result.
- [ ] The frontend never calculates the total score, score band, positive item-9 status, or safety status.
- [ ] Care Problem Details responses map to clear validation, conflict, expiry, forbidden, and unavailable UI states.
- [ ] Anonymous credentials remain in protected server-side storage and are not logged or rendered.
- [ ] The hard-coded hotline and hard-coded PHQ-9 result recommendations are removed.
- [ ] Missing approved result or resource content produces explicit unavailable text, not invented guidance.
- [ ] New screens and states follow the current frontend design system and accessibility patterns.
- [ ] Unit, route, component, and focused E2E tests cover both roles and failure paths.

## Definition of Done

- [ ] All Acceptance Criteria are satisfied.
- [ ] Care remains the only scoring and safety-policy authority.
- [ ] Frontend lint, format, typecheck, unit tests, and production build pass.
- [ ] Focused browser tests pass against controlled Care responses.
- [ ] Security review confirms no bearer token, anonymous credential, or sensitive answer is logged.
- [ ] Removed hotline behavior is absent from production code and tests.
- [ ] Code and contract changes have been reviewed.
- [ ] Changes have been integrated into the target branch.
- [ ] Related documentation and Jira sub-tasks are complete.
- [ ] No known Critical or High issue remains unresolved.

## Evidence

- Jira: Assigned during import
- Backend contract: Care OpenAPI v1
- Frontend: assessment routes, Care BFF, and typed client
- Tests: Vitest route/component tests and Playwright focused flow
- Pull Request: To be added

## Completion Notes

To be completed after anonymous and authenticated PHQ-9 flows have been validated end to end."
Story,501,Complete Care profile consent history and reassessment flow,401,Member 2,8,,MB Sprint 2,Highest,sprint2-care,"## Objective

Close the profile/consent runtime carry-over and let authenticated users manage Care data and revisit their own screening history without weakening ownership controls.

## Scope

- Complete the existing MB-89 profile and consent implementation sub-task.
- Define and implement a paginated own-assessment history endpoint.
- Integrate profile, consent, assessment history, result reopening, and reassessment entry points in the frontend.
- Keep anonymous sessions isolated and non-claimable.

## Acceptance Criteria

- [ ] Authenticated USER accounts can view and update only their own Care profile with optimistic concurrency.
- [ ] Consent decisions are append-only, independently versioned, idempotent, and immediately reflect revocation.
- [ ] Users can list only their own assessments with stable pagination and deterministic ordering.
- [ ] History entries expose the approved result summary without leaking answers or another owner's data.
- [ ] Reassessment creates a new submission and never overwrites historical evidence.
- [ ] Anonymous assessments remain isolated and cannot be silently attached to an account.
- [ ] Frontend profile, consent, history, and reassessment states follow the current theme and accessibility conventions.
- [ ] Contract, PostgreSQL integration, frontend unit, and focused E2E tests cover success and failure paths.

## Definition of Done

- [ ] All Acceptance Criteria are satisfied.
- [ ] The MB-89 profile/consent carry-over has been closed in Jira.
- [ ] Care OpenAPI validation and focused backend tests pass.
- [ ] Liquibase validation and PostgreSQL integration tests pass when schema changes are required.
- [ ] Frontend lint, format, typecheck, unit tests, and build pass.
- [ ] Privacy, consent, authorization, idempotency, and pagination boundaries have been reviewed.
- [ ] Code and contract changes have been reviewed and integrated into the target branch.
- [ ] Data dictionary and Care/frontend documentation are updated where affected.
- [ ] Related Jira sub-tasks are complete.
- [ ] No known Critical or High issue remains unresolved.

## Evidence

- Jira carry-over: MB-89 profile/consent implementation sub-task
- API documentation: Care OpenAPI v1
- Database: Care Liquibase migrations and data dictionary when changed
- Tests: Care PostgreSQL integration tests and frontend Vitest/Playwright tests
- Pull Request: To be added

## Completion Notes

To be completed after profile, consent, history, and reassessment flows have been validated against real service contracts."
Story,502,Define and approve the Review 1 screening-to-support blueprint,402,Member 3,8,,MB Sprint 2,Highest,sprint2-review1,"## Objective

Provide a defensible business flow showing how MentalBridge moves from eligibility and standardized screening to reviewed support, optional specialist involvement, follow-up, reassessment, and descriptive progress evaluation.

## Scope

- Define the initial Vietnam target cohort of adults aged 18–30 as a product scope rather than a medical cutoff.
- Record exact PHQ-9 and GAD-7 source/version, vi-VN provenance, validation population, publication rights, reviewer, and publication state.
- Define screening-result terminology, non-diagnostic wording, and prohibited claims.
- Approve or explicitly block a deterministic severity-to-support matrix that keeps item-9 safety status independent.
- Define the specialist recommendation and handoff journey, data minimization, scoped consent, entitlement, and unavailable-runtime behavior.
- Define follow-up entry/exit, cadence ownership, reassessment, and descriptive progress comparison.
- Create a Review 1 closure matrix and mentor-facing end-to-end flow.

## Acceptance Criteria

- [ ] The target-cohort decision explains inclusion, exclusion, why the MVP starts at 18, why it ends at 30, and that 30 is not a clinical threshold.
- [ ] PHQ-9 and GAD-7 each have an instrument register entry with exact source, wording/version, locale, validated population, publication rights, accountable reviewers, and publication gate.
- [ ] GAD-7 remains unpublished unless every required provenance and approval field is complete.
- [ ] Terminology distinguishes screening result from diagnosis, disease severity, treatment recommendation, and clinical outcome.
- [ ] The routing matrix keeps screeningLevel, safetyStatus, supportTier, supportActions, and entitlementPlan independent.
- [ ] No score directly diagnoses a condition, mandates treatment, or claims specialist/emergency response.
- [ ] The item-9 path remains independent from the PHQ-9 band and does not infer intent, plan, imminence, or urgency from values 1–3.
- [ ] Specialist handoff defines user-visible behavior, optional recommendation, scoped consent, minimum shared data, entitlement/availability checks, and runtime-unavailable fallback.
- [ ] Follow-up defines who owns cadence, entry/exit conditions, missing or stale assessments, reassessment behavior, and continue/adapt/escalate wording boundaries.
- [ ] Progress comparison defines baseline, current result, absolute delta, screening-level transition, instrument-version compatibility, insufficient-data behavior, and non-causal wording.
- [ ] Every unresolved clinical, legal, privacy, or product choice has an owner, approval state, deadline or explicit defer decision; engineering does not invent a default.
- [ ] A Review 1 closure matrix links every mentor feedback item to a decision artifact, evidence source, reviewer, approval, runtime status, and follow-up Jira issue.

## Definition of Done

- [ ] All Acceptance Criteria are satisfied.
- [ ] The business flow is versioned and reviewed by the product owner and supervisor/mentor.
- [ ] Clinical content and routing are approved by the accountable domain expert or remain explicitly blocked and unpublished.
- [ ] Consent, retention, and data-sharing boundaries receive the required security/legal review or remain explicitly blocked.
- [ ] PHQ-9, GAD-7, support, consent, domain, coverage, and traceability documents do not contain conflicting status or terminology.
- [ ] The end-to-end diagram and decision tables are understandable without reading implementation code.
- [ ] Runtime-complete, definition-complete, approval-blocked, and deferred work are clearly distinguished.
- [ ] Related Jira sub-tasks and review comments are complete.
- [ ] No known Critical or High policy ambiguity is silently treated as resolved.

## Evidence

- Jira: Assigned during import
- Policies: PHQ-9, GAD-7, Care support/intervention, and Care consent/retention
- Architecture: ADR 0009, domain/use cases, module coverage, and requirements traceability
- Research: instrument validation and localization sources recorded in the provenance register
- Review artifact: Review 1 closure matrix and mentor-facing flow
- Pull Request: To be added

## Completion Notes

To be completed after each Review 1 feedback item has a recorded disposition and required approval evidence. Definition does not claim that deferred specialist, follow-up, GAD-7, or progress runtime is implemented."
Story,503,Integrate reviewed support resources with safe fallback,403,Member 5,5,,MB Sprint 2,High,sprint2-content,"## Objective

Show reviewed published resources after screening while remaining safe and unambiguous when Content/Notification is unavailable.

## Scope

- Add a server-side Content/Notification BFF and typed resource client.
- Render only published reviewed resources relevant to the result context.
- Add explicit unavailable and empty states.
- Preserve the decision to remove the hotline catalogue.

## Acceptance Criteria

- [ ] Anonymous and authenticated result pages can request published resources without exposing service credentials.
- [ ] Only backend-returned published resources are displayed; the frontend does not invent support content.
- [ ] Empty and unavailable responses display explicit neutral fallback text.
- [ ] The UI does not claim emergency dispatch, continuous monitoring, guaranteed response, or guaranteed notification.
- [ ] No hotline number or hotline catalogue is restored.
- [ ] Tier-restricted future features are clearly unavailable and are not presented as an error or a completed service.
- [ ] Resource UI follows the existing theme, components, and accessibility conventions.
- [ ] Automated tests cover published, empty, unavailable, malformed, and unauthorized responses.

## Definition of Done

- [ ] All Acceptance Criteria are satisfied.
- [ ] Content/Notification remains the resource catalogue authority.
- [ ] Safety and fallback copy has been manually reviewed.
- [ ] Frontend lint, format, typecheck, unit tests, and production build pass.
- [ ] Contract and component tests pass.
- [ ] Code changes have been reviewed and integrated into the target branch.
- [ ] Related documentation and Jira sub-tasks are complete.
- [ ] No known Critical or High issue remains unresolved.

## Evidence

- Backend contract: Content/Notification OpenAPI
- Architecture decision: ADR 0009 hotline catalogue removal
- Frontend: resource BFF and result-page resource component
- Tests: Vitest route/component tests
- Pull Request: To be added

## Completion Notes

To be completed after reviewed resources and every fallback state have been validated."
Story,504,Validate Sprint 2 integrated journey and release evidence,403,Member 5,5,,MB Sprint 2,High,sprint2-quality,"## Objective

Prove the committed Sprint 2 vertical slice across frontend and backend and produce reproducible release evidence.

## Scope

- Validate anonymous PHQ-9 to result and reviewed-resource flow.
- Validate authenticated session, profile/consent, PHQ-9 history/reassessment, and reviewed-resource flow.
- Validate service degradation and security boundaries.
- Update runbooks and evidence links.

## Acceptance Criteria

- [ ] Anonymous PHQ-9 submission, result reopening, expiry, and resource fallback pass end to end.
- [ ] Authenticated profile, consent, PHQ-9, history, reassessment, and reviewed-resource behavior pass end to end.
- [ ] Cross-user Care access attempts fail closed.
- [ ] Identity, Care, and Content/Notification unavailability states are explicit and non-misleading.
- [ ] Frontend contains no browser-owned PHQ-9 scoring, obsolete hotline, or production mock assessment/result data.
- [ ] Backend focused suites and frontend quality gates pass from clean documented commands.
- [ ] Review 1 business definitions and approval states are traceable; deferred GAD-7, consultation, specialist, follow-up/progress, journal-frontend, and AI runtime are documented separately.

## Definition of Done

- [ ] All Acceptance Criteria are satisfied.
- [ ] Required services start from documented environment examples without committed secrets.
- [ ] Backend unit, contract, and relevant PostgreSQL/MongoDB/Redis integration tests pass.
- [ ] Frontend lint, format, typecheck, unit tests, E2E smoke tests, and production build pass.
- [ ] Evidence includes commands, results, screenshots where useful, and pull-request links.
- [ ] Safety, privacy, consent, authorization, and fallback boundaries have been reviewed.
- [ ] Changes have been reviewed and integrated into the target branch.
- [ ] Related documentation and Jira sub-tasks are complete.
- [ ] No known Critical or High issue remains unresolved.

## Evidence

- Jira: Sprint 2 Stories and carry-over MB-89/MB-92/MB-93
- Tests: service-focused suites and frontend Vitest/Playwright suites
- Documentation: service READMEs, agent guides, and runbooks
- Pull Requests: To be added

## Completion Notes

To be completed after the integrated demo path and degradation scenarios have reproducible passing evidence."
Sub-task,600,Add Care BFF configuration and typed assessment client,500,Member 1,,28800,MB Sprint 2,Highest,sprint2-screening,"## Objective

Create the frontend server-side boundary for Care assessment APIs.

## Acceptance Criteria

- [ ] Environment values are validated server-side.
- [ ] Authenticated JWT and anonymous session credentials never reach browser-readable storage.
- [ ] Problem Details map to stable frontend errors with correlation IDs.

## Definition of Done

- [ ] Route and client tests cover success, timeout, malformed response, and unavailable service.
- [ ] Lint, typecheck, unit tests, and build pass.
- [ ] No credential or assessment answer is logged."
